event_index,time,event_type,price_at_crossover,sma_at_crossover,price_vs_sma_pct,sma_slope,candle_body,volatility,reverted,candles_to_reversion,max_adverse_move,max_favorable_move,max_adverse_move_pct,max_favorable_move_pct,event_type_bullish
22465,2025-05-02 00:45:00,bearish,3232.596,3238.6153,-0.18586029652857905,0.19755000000031941,7.673999999999978,4.04568445600616,True,14.0,3.811999999999898,-2.094000000000051,0.1179237987054336,-0.06477765857533854,0
22479,2025-05-02 01:55:00,bullish,3236.408,3235.8947,0.015862691700075163,-0.948500000000422,1.0889999999999418,1.012434055830694,False,,0.0,21.309000000000196,0.0,0.6584151318375248,1
22510,2025-05-02 04:30:00,bearish,3253.286,3253.55275,-0.008198729834633062,2.1433499999998276,2.4600000000000364,1.119249890904968,True,1.0,2.2219999999997526,0.0,0.06830017403940977,0.0,0
22511,2025-05-02 04:35:00,bullish,3255.508,3253.92775,0.04856438499594769,2.0529499999997824,2.13799999999992,1.1281127241068494,True,1.0,-1.8619999999996253,0.0,-0.05719537473105965,0.0,1
22512,2025-05-02 04:40:00,bearish,3253.646,3254.29035,-0.019800015693130495,1.8600999999998749,1.862999999999829,1.1080285277326536,True,1.0,1.0889999999999418,0.0,0.03347014395542545,0.0,0
22513,2025-05-02 04:45:00,bullish,3254.735,3254.6297999999997,0.003232318465234441,1.7427499999994325,1.1040000000002692,1.1030234894454272,True,1.0,-1.0480000000002292,0.0,-0.03219924202739176,0.0,1
22514,2025-05-02 04:50:00,bearish,3253.687,3254.79055,-0.0339054075230822,1.4790000000002692,1.04300000000012,0.9217864819197795,True,9.0,2.412000000000262,-1.9380000000001019,0.07413128552316993,-0.05956319707458345,0
22523,2025-05-02 05:35:00,bullish,3256.099,3254.01335,0.06409469709151583,-0.7645999999999731,2.5330000000003565,1.7074368270042315,True,2.0,-4.6340000000000146,0.0,-0.14231754009936473,0.0,1
22525,2025-05-02 05:45:00,bearish,3251.465,3253.74975,-0.07021898349741874,-0.6174999999998363,2.6859999999996944,1.754459551606328,True,4.0,2.548999999999978,0.0,0.07839543098264869,0.0,0
22529,2025-05-02 06:05:00,bullish,3254.014,3253.17,0.025943925463472576,-0.7845999999999549,1.2270000000003165,1.0241061068906954,True,6.0,-0.24000000000023647,7.576999999999771,-0.007375506067282946,0.23285087279894218,1
22535,2025-05-02 06:35:00,bearish,3253.774,3254.30285,-0.016250792393220186,1.059349999999995,3.57300000000032,2.9369643032265955,True,6.0,0.4329999999999927,-4.106999999999971,0.013307623700969787,-0.12622265713598949,0
22541,2025-05-02 07:05:00,bullish,3254.207,3254.16185,0.0013874540382778264,-0.09785000000010768,0.5809999999996762,2.0953830957982134,True,1.0,-1.0540000000000873,0.0,-0.032388843119079004,0.0,1
22542,2025-05-02 07:10:00,bearish,3253.153,3254.1401,-0.030333666334780185,0.04569999999966967,0.9930000000003929,1.622756210337271,True,1.0,1.0960000000000036,0.0,0.033690392059641944,0.0,0
22543,2025-05-02 07:15:00,bullish,3254.249,3254.0476000000003,0.006189214933409907,0.08550000000013824,1.1789999999996326,0.6020411266908163,True,20.0,0.0,7.586999999999989,0.0,0.23314134843400086,1
22563,2025-05-02 08:55:00,bearish,3258.045,3258.5939,-0.016844688747492467,1.448699999999917,0.7579999999998108,1.0316112244887923,True,2.0,3.3029999999998836,-0.2290000000002692,0.10137981519591913,-0.007028754974233603,0
22565,2025-05-02 09:05:00,bullish,3261.348,3259.01345,0.07163364115603867,1.2084500000000844,3.58199999999988,1.528439471646365,True,13.0,-1.5270000000000437,4.568000000000211,-0.0468211304037485,0.14006478302837388,1
22578,2025-05-02 10:10:00,bearish,3259.821,3261.7824499999997,-0.0601342986562389,1.415599999999813,1.912000000000262,2.4396063655171414,True,2.0,2.3769999999999527,-1.2199999999998,0.07291811421547235,-0.03742536783460809,0
22580,2025-05-02 10:20:00,bullish,3262.198,3261.8388,0.011012193490367255,0.5938500000002023,3.548999999999978,2.1363752522859474,True,2.0,-2.3040000000000873,0.7020000000002256,-0.07062722740925251,0.021519233351262726,1
22582,2025-05-02 10:30:00,bearish,3259.894,3262.0114,-0.06491087063644502,0.3000999999999294,3.0900000000001455,1.7965663690916673,True,9.0,2.23700000000008,-1.655999999999949,0.06862186316487838,-0.05079919776532455,0
