entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,hold_candles,pattern
2025-02-03 15:35:00,2025-02-03 16:05:00,LONG,2815.263,2822.289,0.002495681575753418,Take Profit,6,inverted_hammer
2025-02-07 16:15:00,2025-02-07 16:50:00,LONG,2870.651,2863.182,-0.0026018488489196532,Timeout,7,hanging_man
2025-02-12 14:00:00,2025-02-12 14:25:00,SHORT,2884.445,2895.521,-0.003839906810495614,Stop Loss,5,shooting_star
2025-02-25 15:30:00,2025-02-25 15:55:00,LONG,2907.911,2905.866,-0.0007032539854211744,Take Profit,5,hanging_man
2025-02-27 14:55:00,2025-02-27 15:20:00,LONG,2872.25,2877.647,0.0018790147097223202,Take Profit,5,morning_star
2025-02-28 14:05:00,2025-02-28 14:40:00,LONG,2845.182,2838.804,-0.0022416843632497682,Timeout,7,hanging_man
2025-03-02 23:10:00,2025-03-02 23:25:00,SHORT,2872.843,2871.135,0.00059453301137571,Take Profit,3,bearish_engulfing
2025-03-05 13:50:00,2025-03-05 14:20:00,LONG,2896.825,2903.426,0.002278701682013968,Take Profit,6,inverted_hammer
2025-03-05 14:40:00,2025-03-05 15:15:00,SHORT,2914.591,2917.433,-0.0009750939325620982,Timeout,7,shooting_star
2025-03-14 10:40:00,2025-03-14 11:00:00,LONG,2990.187,2997.832,0.0025566962868877373,Take Profit,4,inverted_hammer
2025-03-21 13:50:00,2025-03-21 14:05:00,LONG,3011.339,2999.686,-0.0038697071302831705,Stop Loss,3,inverted_hammer
2025-04-01 06:00:00,2025-04-01 06:25:00,LONG,3131.758,3136.29,0.0014471105366379371,Take Profit,5,hanging_man
2025-04-01 16:00:00,2025-04-01 16:15:00,LONG,3114.454,3102.434,-0.0038594244769709174,Stop Loss,3,inverted_hammer
2025-04-02 10:45:00,2025-04-02 11:10:00,LONG,3116.263,3119.598,0.0010701920858412902,Take Profit,5,hanging_man
2025-04-03 14:50:00,2025-04-03 15:05:00,SHORT,3133.916,3118.545,0.004904726227505808,Take Profit,3,shooting_star
2025-04-04 12:55:00,2025-04-04 13:10:00,LONG,3071.138,3082.286,0.0036299248031186285,Take Profit,3,inverted_hammer
2025-04-04 14:15:00,2025-04-04 14:45:00,LONG,3047.719,3030.1,-0.005781044774797198,Stop Loss,6,hanging_man
2025-04-04 15:35:00,2025-04-04 16:10:00,LONG,3022.89,3022.475,-0.00013728584235614383,Take Profit,7,hanging_man
2025-04-06 22:30:00,2025-04-06 23:05:00,LONG,3013.048,3012.967,-2.6883076538998457e-05,Timeout,7,hanging_man
2025-04-07 00:00:00,2025-04-07 00:05:00,SHORT,2999.592,2988.011,0.003860858410077147,Take Profit,1,shooting_star
2025-04-07 01:25:00,2025-04-07 01:35:00,SHORT,3018.94,3048.947,-0.009939581442493082,Stop Loss,2,shooting_star
2025-04-07 02:35:00,2025-04-07 03:10:00,LONG,3034.298,3026.081,-0.0027080398827009225,Timeout,7,hanging_man
