entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,hold_candles,ml_probability,prob_bucket
2025-01-07 08:00:00,2025-01-07 09:15:00,SHORT,2643.403,2641.069,0.0008829527695927684,Timeout,15,0.9987827,0.995-1.0
2025-01-07 13:15:00,2025-01-07 14:30:00,SHORT,2657.979,2661.572,-0.001351778926771168,Timeout,15,0.9989963,0.995-1.0
2025-01-07 15:00:00,2025-01-07 16:15:00,LONG,2647.119,2653.26,0.002319880594714509,Timeout,15,0.99923897,0.995-1.0
2025-01-07 16:15:00,2025-01-07 17:30:00,SHORT,2653.26,2653.529,-0.00010138471163767518,Timeout,15,0.9999583,0.995-1.0
2025-01-08 13:00:00,2025-01-08 14:15:00,SHORT,2656.0,2661.008,-0.0018855421686746275,Timeout,15,0.9972905,0.995-1.0
2025-01-08 14:35:00,2025-01-08 15:50:00,SHORT,2666.321,2664.597,0.000646583813426705,Timeout,15,0.9997167,0.995-1.0
2025-01-08 17:25:00,2025-01-08 18:40:00,LONG,2662.802,2656.973,-0.0021890474770561905,Timeout,15,0.99977535,0.995-1.0
2025-01-08 18:50:00,2025-01-08 19:15:00,LONG,2651.781,2659.922,0.003070012191806215,Take Profit,4,0.9999839,0.995-1.0
2025-01-08 19:15:00,2025-01-08 20:30:00,SHORT,2659.922,2659.386,0.00020150966832864205,Timeout,15,0.99994516,0.995-1.0
2025-01-08 20:50:00,2025-01-08 23:05:00,SHORT,2663.809,2662.254,0.0005837505616957863,Timeout,15,0.996416,0.995-1.0
2025-01-09 13:55:00,2025-01-09 15:10:00,LONG,2672.715,2673.185,0.000175851147615739,Timeout,15,0.9999646,0.995-1.0
2025-01-09 15:50:00,2025-01-09 17:05:00,LONG,2669.344,2665.011,-0.0016232452617572272,Timeout,15,0.99992394,0.995-1.0
2025-01-10 13:30:00,2025-01-10 13:40:00,LONG,2666.56,2675.778,0.003456888275530964,Take Profit,2,0.9998938,0.995-1.0
2025-01-10 13:45:00,2025-01-10 15:00:00,SHORT,2680.577,2688.002,-0.0027699260271201783,Timeout,15,0.99940825,0.995-1.0
